,City,Cloudy,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
176,marion,90,US,1575940953,82,35.21,-90.2,66.2,4.7
177,tuatapere,100,NZ,1575940953,39,-46.13,167.69,66.06,3.89
178,ribeira grande,88,PT,1575940954,93,41.76,-8.56,50.0,1.12
179,sao joao da barra,22,IN,1575940954,60,20.51,76.21,64.94,3.58
180,bagdarin,100,RU,1575940954,88,54.44,113.59,-3.42,4.38
181,tierralta,34,CO,1575940954,95,8.17,-76.06,72.88,1.7
182,san rafael,5,ML,1575940779,11,13.3,-4.9,71.49,8.01
183,ilhabela,100,BR,1575940764,83,-23.78,-45.36,72.03,5.3
184,pisco,88,PE,1575940954,88,-13.71,-76.2,68.0,16.11
185,chuy,4,UY,1575940954,78,-33.69,-53.46,66.65,5.88
186,karratha,0,AU,1575940954,63,-20.74,116.85,83.3,7.78
187,esperance,22,AU,1575940954,59,-33.86,121.89,64.4,9.17
188,praia,100,BR,1575940954,83,-20.25,-43.81,71.6,8.05
189,wanning,75,AT,1575940955,93,48.64,13.53,42.01,13.87
190,ossora,93,RU,1575940955,71,59.24,163.07,7.56,3.67
191,vilhena,75,BR,1575940955,89,-12.74,-60.15,70.2,2.35
192,bereda,77,ES,1575940955,100,43.27,-7.54,46.0,4.7
193,zyryanovsk,0,KZ,1575940955,76,49.74,84.27,11.59,1.81
194,laguna,40,BZ,1575940956,88,16.17,-88.94,77.0,2.93
195,caravelas,0,BR,1575940956,93,-17.73,-39.27,73.18,6.08
196,suntar,96,RU,1575940956,96,62.16,117.65,-19.12,3.96
197,san cristobal,5,ML,1575940779,11,13.3,-4.9,71.49,8.01
198,marathon,100,CA,1575940957,100,48.72,-86.38,6.62,30.36
199,hobart,75,AU,1575940744,33,-42.88,147.33,69.01,14.99
200,belmonte,91,PT,1575940957,78,40.36,-7.35,42.01,3.56
201,susehri,3,TR,1575940958,85,40.16,38.09,18.63,3.42
202,knysna,16,ZA,1575940958,93,-34.04,23.05,57.2,5.82
203,hofn,100,IS,1575940958,88,64.25,-15.21,41.54,5.99
204,sitborice,90,CZ,1575940958,100,49.01,16.78,37.0,4.7
205,mindelo,20,PT,1575940958,100,41.31,-8.72,46.99,6.93
206,nuuk,93,GL,1575940958,54,64.17,-51.74,30.2,10.29
207,broome,30,GB,1575940958,84,52.47,1.45,35.01,5.82
208,tual,100,ID,1575940958,69,-5.67,132.75,83.55,5.44
209,port hardy,92,CD,1575940949,69,-7.04,29.76,76.08,9.86
210,stoke-on-trent,29,GB,1575940958,86,53.02,-2.18,39.99,3.36
211,ulaanbaatar,20,MN,1575940958,77,47.92,106.92,-2.2,4.47
212,matabungkay,43,PH,1575940959,76,13.95,120.62,77.81,9.55
213,mys shmidta,100,RU,1575940959,95,62.06,48.62,36.41,12.3
214,soyo,49,AO,1575940959,81,-6.13,12.37,76.51,4.63
215,astoria,1,US,1575940959,87,46.19,-123.83,46.0,5.82
216,kashan,26,IR,1575940959,45,33.99,51.44,45.27,0.54
217,jos,22,NG,1575940959,27,9.92,8.9,61.2,2.24
218,lebork,75,PL,1575940959,86,54.54,17.75,43.0,11.41
219,dakar,100,SN,1575940959,83,14.69,-17.45,71.6,4.7
220,mount pleasant,24,GB,1575940950,93,53.66,-1.85,39.0,10.29
221,verkhnyaya inta,99,RU,1575940959,90,60.98,40.21,37.45,13.94
222,cockburn town,25,AU,1575940959,26,-32.08,141.0,84.2,17.22
223,longyearbyen,75,NO,1575940959,77,78.22,15.63,-0.4,10.29
224,lovozero,100,RU,1575940959,95,68.01,35.02,18.64,8.39
225,san quintin,5,ML,1575940779,11,13.3,-4.9,71.49,8.01
226,buraydah,40,SA,1575940960,100,26.33,43.97,57.2,4.7
227,hovd,90,NO,1575940960,82,63.83,10.7,37.0,19.46
228,katsuura,75,JP,1575940960,71,33.93,134.5,51.8,6.93
229,saint-joseph,96,FR,1575940960,49,43.56,6.97,51.01,3.36
230,touros,20,BR,1575940960,83,-5.2,-35.46,75.2,4.7
231,lebu,75,ET,1575940960,87,8.96,38.73,57.2,3.36
232,maksi,57,LV,1575940960,88,56.95,27.73,38.52,10.29
233,rafaela,2,AR,1575940961,36,-31.25,-61.49,81.0,1.01
234,carnarvon,92,ZA,1575940961,62,-30.97,22.13,62.58,10.65
235,santa cruz de la palma,0,PH,1575940961,75,17.49,120.43,70.77,4.65
236,ambon,0,FR,1575940961,93,47.55,-2.56,42.01,1.12
237,sinnamary,19,GF,1575940961,81,5.38,-52.96,81.14,19.06
238,bilibino,100,RU,1575940961,99,68.06,166.44,-19.19,3.53
239,vostok,99,RU,1575940962,95,46.45,135.83,22.84,4.47
240,grand gaube,75,FR,1575940962,93,48.39,5.49,39.2,6.93
241,namatanai,99,PG,1575940962,70,-3.66,152.44,83.93,6.24
242,riyadh,75,SA,1575940962,88,24.63,46.72,62.6,8.05
243,narsaq,100,GL,1575940962,73,60.91,-46.05,26.6,1.12
244,gulabpura,0,IN,1575940962,63,25.91,74.66,54.19,2.46
245,guarapari,75,BR,1575940962,88,-20.67,-40.5,77.0,3.36
246,vanimo,100,PG,1575940962,78,-2.67,141.3,81.95,11.32
247,adrar,0,DZ,1575940962,53,27.87,-0.29,50.0,10.29
248,clyde river,100,NZ,1575940962,62,-45.19,169.32,63.0,1.01
249,san andres,5,ML,1575940779,11,13.3,-4.9,71.49,8.01
250,itoman,75,JP,1575940962,56,26.12,127.67,73.4,16.11
251,balikpapan,100,ID,1575940962,77,-1.24,116.86,80.08,2.13
252,tokonou,28,GN,1575940963,44,9.65,-9.78,70.7,1.52
253,gorontalo,100,ID,1575940963,85,0.54,123.06,78.76,4.0
254,nanortalik,100,GL,1575940963,69,60.14,-45.24,31.35,2.93
255,yellowknife,5,CA,1575940920,66,62.45,-114.38,-29.0,3.36
256,sergeyevka,1,KZ,1575940963,91,53.88,67.42,17.58,7.09
257,aklavik,90,CA,1575940963,77,68.22,-135.01,-2.2,9.17
258,marsabit,52,KE,1575940963,67,2.34,37.99,74.93,11.9
259,kavaratti,30,IN,1575940964,74,10.57,72.64,81.84,5.79
260,champerico,5,MX,1575940964,57,16.38,-93.6,78.8,3.36
261,juegang,58,CN,1575940964,93,32.31,121.18,51.01,7.78
262,coquimbo,20,CL,1575940964,82,-29.95,-71.34,57.2,8.05
263,muzaffarabad,68,PK,1575940761,31,34.37,73.47,39.81,8.23
264,grand centre,75,FR,1575940964,93,48.39,5.49,39.2,6.93
265,faanui,94,PF,1575940964,66,-16.48,-151.75,81.61,4.27
266,baykit,100,RU,1575940964,94,61.68,96.39,-6.93,2.26
267,caibarien,20,CU,1575940965,88,22.52,-79.47,77.0,6.93
268,gannan,0,CN,1575940965,80,47.92,123.49,-1.08,2.15
269,winchester,13,GB,1575940878,86,51.06,-1.31,36.0,3.36
270,tabou,7,CI,1575940965,88,4.42,-7.36,77.4,3.13
271,marawi,100,PH,1575940965,78,8.0,124.29,82.99,4.0
